[170, 162, 167, 171, 165, 168] , 1.8292985709462313E-7
[204, 157, 160, 162, 160, 160] , 1.7753862983191072E-17
[237, 153, 157, 152, 150, 154] , 3.8168584429458116E-14
[263, 146, 152, 150, 146, 146] , 8.76840679230328E-11
[286, 141, 148, 146, 141, 141] , 2.652200412372349E-13
[315, 132, 141, 140, 136, 139] , 5.099481377291203E-15
[341, 128, 134, 139, 128, 133] , 2.6589146505045167E-20
[365, 124, 129, 136, 122, 127] , 3.8168584429867093E-14
[388, 119, 123, 133, 116, 124] , 2.4836216265617724E-17
[408, 113, 122, 131, 112, 117] , 3.357891420331051E-12
[426, 107, 118, 130, 108, 114] , 1.7665681589433267E-16
[438, 105, 117, 128, 104, 111] , 2.5908448321595796E-20
[449, 101, 117, 127, 103, 106] , 2.8795250718039803E-15
[462, 98, 116, 125, 100, 102] , 7.018773665023331E-10
[469, 96, 114, 124, 100, 100] , 1.1475051901688229E-11
[479, 95, 111, 123, 98, 97] , 5.168540440733062E-13
[488, 94, 109, 121, 98, 93] , 4.173029477702805E-16
[496, 91, 107, 120, 97, 92] , 2.3093480556807368E-9
[498, 90, 107, 120, 97, 91] , 3.2074161536317946E-17
[506, 90, 105, 118, 95, 89] , 3.415277321738326E-20
[513, 90, 104, 117, 94, 85] , 1.1475051901838419E-11
[520, 88, 104, 114, 92, 85] , 5.1179960173006736E-14
[529, 87, 103, 111, 90, 83] , 2.1085420311126682E-11
[540, 85, 100, 109, 86, 83] , 1.6404017388375214E-19
[547, 83, 99, 106, 86, 82] , 7.018773664864516E-10
[555, 82, 98, 103, 85, 80] , 1.6797250232279562E-19
[560, 81, 97, 103, 84, 78] , 1.653704285621403E-12
[564, 80, 95, 103, 83, 78] , 8.526355452958342E-25
[567, 80, 94, 103, 82, 77] , 1.9255802404705647E-14
[569, 80, 93, 102, 82, 77] , 5.1179960094402597E-14
[573, 80, 92, 100, 82, 76] , 9.14210678323837E-9
[575, 80, 91, 99, 82, 76] , 2.29372726670061E-15
[581, 79, 89, 98, 80, 76] , 2.879525071658038E-15
[583, 78, 88, 98, 80, 76] , 5.214417217236284E-13
[590, 78, 88, 94, 78, 75] , 3.8894257572770894E-10
[598, 77, 87, 93, 76, 72] , 3.3578914203137055E-12
[606, 75, 85, 92, 75, 70] , 9.122171398750699E-7
[608, 74, 84, 92, 75, 70] , 2.5243958962280018E-14
[614, 72, 83, 90, 74, 70] , 3.640447166295298E-14
[617, 72, 81, 90, 73, 70] , 4.728578565716328E-14
[621, 72, 79, 90, 72, 69] , 2.033666242391299E-14
[624, 71, 79, 88, 72, 69] , 2.529735076651791E-21
[628, 70, 79, 88, 69, 69] , 5.375924722027845E-15
[630, 69, 79, 88, 69, 68] , 2.1085420311097243E-11
[637, 68, 78, 87, 67, 66] , 2.76948407799675E-13
[639, 68, 77, 87, 66, 66] , 2.2052912333361533E-7
[642, 67, 77, 86, 65, 66] , 2.026417484938233E-11
[650, 66, 73, 86, 65, 63] , 1.9255802405554347E-14
[653, 65, 73, 85, 64, 63] , 5.0994813772796806E-15
[658, 65, 71, 85, 63, 61] , 1.7665681589435025E-16
[660, 65, 71, 84, 63, 60] , 1.1475051901783054E-11
[661, 64, 71, 84, 63, 60] , 1.6239004709016476E-18
[663, 64, 71, 82, 63, 60] , 1.2094762955914529E-16
[669, 61, 70, 81, 62, 60] , 3.985785054431591E-14
[673, 61, 68, 80, 62, 59] , 2.3093480556813274E-9
[677, 60, 66, 80, 62, 58] , 1.2573860259129505E-10
[679, 60, 65, 80, 61, 58] , 2.0264174849402628E-11
[681, 59, 64, 80, 61, 58] , 1.2291800702754948E-8
[682, 58, 64, 80, 61, 58] , 2.8347406824954126E-10
[686, 57, 63, 79, 61, 57] , 1.9462240793536286E-15
[688, 56, 63, 78, 61, 57] , 5.674382487769235E-13
[690, 56, 61, 78, 61, 57] , 5.58175688781379E-20
[691, 56, 61, 77, 61, 57] , 4.7285785658020045E-14
[693, 56, 61, 75, 61, 57] , 4.382744221317945E-18
[693, 56, 61, 75, 61, 57] , 6.5206925964451645E-18
[695, 56, 61, 75, 61, 55] , 1.748054062913514E-14
[695, 56, 61, 75, 61, 55] , 1.446401874324793E-16
[697, 56, 61, 75, 59, 55] , 3.257271806550221E-6
[698, 56, 61, 75, 58, 55] , 4.577935915184318E-15
[698, 56, 61, 75, 58, 55] , 3.3505420173931115E-17
[700, 54, 61, 75, 58, 55] , 4.349392811342277E-15
[706, 53, 60, 72, 57, 55] , 2.1387219655914202E-13
[707, 53, 59, 72, 57, 55] , 6.679774922882816E-16
[707, 53, 59, 72, 57, 55] , 2.2937272662206526E-15
[710, 53, 59, 71, 57, 53] , 7.482004083701173E-20
[712, 52, 59, 70, 57, 53] , 3.985785054420093E-14
[714, 52, 59, 69, 56, 53] , 4.39378192101343E-9
[715, 52, 59, 68, 56, 53] , 2.372038584510937E-12
[716, 52, 59, 67, 56, 53] , 1.9462240796553305E-15
[717, 51, 59, 67, 56, 53] , 4.6843357069707635E-5
[718, 51, 59, 66, 56, 53] , 2.205291233343189E-7
[719, 50, 59, 66, 56, 53] , 1.6537042853952452E-12
[722, 49, 58, 65, 56, 53] , 3.1703515789742345E-11
[723, 49, 58, 65, 55, 53] , 1.1024583828211656E-12
[727, 49, 57, 65, 53, 52] , 1.8039591196274436E-7
[727, 49, 57, 65, 53, 52] , 3.2230662009508467E-13
[730, 49, 57, 63, 52, 52] , 1.1024583828410587E-12
[730, 49, 57, 63, 52, 52] , 5.7775379790843326E-11
[730, 49, 57, 63, 52, 52] , 1.6404017388160398E-19
[732, 49, 57, 63, 51, 51] , 3.579894810383744E-13
[732, 49, 57, 63, 51, 51] , 2.2052912333306926E-7
[733, 49, 57, 63, 51, 50] , 3.98578505444544E-14
[734, 48, 57, 63, 51, 50] , 5.666380517143708E-15
[734, 48, 57, 63, 51, 50] , 2.1439966867481027E-15
[735, 48, 57, 63, 51, 49] , 3.2230662009340946E-13
[736, 47, 57, 63, 51, 49] , 1.2291800702754948E-8
[736, 47, 57, 63, 51, 49] , 1.2291800702817656E-8
[738, 46, 57, 63, 51, 48] , 3.612545288306108E-17
[738, 46, 57, 63, 51, 48] , 3.2572718065386263E-6
[739, 46, 57, 63, 50, 48] , 8.768406792159515E-11
[739, 46, 57, 63, 50, 48] , 2.834740682477436E-10
[739, 46, 57, 63, 50, 48] , 1.5756434124644467E-15
[739, 46, 57, 63, 50, 48] , 3.357891420344102E-12
[740, 46, 57, 62, 50, 48] , 4.728578565600244E-14
[742, 46, 57, 61, 50, 47] , 5.645042970445741E-9
[742, 46, 57, 61, 50, 47] , 1.229180070214611E-8
[744, 46, 57, 61, 49, 46] , 6.30053332806318E-14
[748, 45, 56, 59, 49, 46] , 2.372038584518892E-12
[748, 45, 56, 59, 49, 46] , 1.8195648069711663E-13
[752, 45, 56, 58, 47, 45] , 3.705467865055813E-14
[753, 45, 56, 58, 46, 45] , 7.972575231627444E-14
[753, 45, 56, 58, 46, 45] , 2.270007918618722E-18
[754, 45, 56, 57, 46, 45] , 2.1085420308145995E-11
